"foc0" "g1" "ninecode"
1 0 109137407
1 0 109137408
1 0 109137418
1 0 109137420
1 0 109137421
1 0 109137425
0 1 109137431
0 1 109137487
0 1 111111116
1 0 114110801
1 0 114110804
1 0 114110805
1 0 114110806
1 0 114110809
1 0 114110813
1 0 114110817
1 0 114110820
1 0 114110821
1 0 114110822
1 0 114110823
1 0 114110824
1 0 114110825
1 0 114110826
1 0 114110829
1 0 114110830
1 0 114110831
1 0 114110833
1 0 114110834
1 0 114110835
1 0 114110836
1 0 114110837
1 0 114110840
1 0 114110841
1 0 114110842
1 0 114110843
1 0 114110847
1 0 114110848
1 0 114110850
1 0 114110851
1 0 114110852
1 0 114110854
1 0 114110855
1 0 114110857
1 0 114110860
1 0 114110861
1 0 114110862
1 0 114110864
1 0 114110866
1 0 114110871
1 0 114110872
1 0 114110873
1 0 114110876
1 0 114110880
1 0 114110881
1 0 114110882
1 0 114110883
1 0 114110887
1 0 114110888
1 0 114110890
1 0 114110891
1 0 114110893
1 0 114110897
1 0 114110899
1 0 114110902
1 0 114110903
1 0 114110904
1 0 114110905
1 0 114110906
1 0 114110907
1 0 114110908
1 0 114110909
1 0 114110910
1 0 114110911
1 0 114110912
1 0 114110913
1 0 114110914
1 0 114110915
1 0 114110916
1 0 114110917
1 0 114110918
1 0 114110919
1 0 114110920
1 0 114110921
1 0 114110922
1 0 114110923
1 0 114110924
1 0 114110925
1 0 114110926
1 0 114110927
1 0 114110928
1 0 114110947
1 0 114110960
1 0 114110968
1 0 114110970
1 0 114110973
1 0 114110974
1 0 114110975
1 0 114110981
1 0 114110982
0 1 117174371
0 1 120143284
0 1 125159145
0 1 125159152
1 0 125160101
1 0 125160102
1 0 125160103
1 0 125160104
1 0 125160105
1 0 125160108
1 0 125160109
1 0 125160113
1 0 125160116
1 0 125160117
1 0 125160119
1 0 125160120
1 0 125160121
1 0 125160122
1 0 125160123
1 0 125160124
1 0 125160125
1 0 125160126
1 0 125160128
1 0 125160131
1 0 125160135
1 0 125160136
1 0 125160139
1 0 125160142
1 0 125160144
1 0 125160145
0 1 125160196
0 1 125160226
0 1 125160254
0 1 127186159
0 1 127186163
0 1 127186178
0 1 127186268
0 1 135102078
0 1 135102291
0 1 135102314
0 1 142169621
0 1 145120681
0 1 146130405
0 1 146130406
0 1 146164118
0 1 146164258
0 1 146164339
0 1 150154544
0 1 150154571
0 1 150154590
0 1 150156980
0 1 172168066
0 1 176124478
0 1 176124583
0 1 176124657
0 1 224130535
0 1 224130547
0 1 224130572
0 1 226189250
0 1 226189251
0 1 226189252
0 1 226189485
0 1 226189495
0 1 243185120
0 1 243185129
0 1 243185377
0 1 266176519
0 1 266176520
0 1 266176521
0 1 266176643
