"ninecode" "gendam" "gensire"
"109137487" NA NA
"114110801" NA NA
"114110805" NA NA
"114110826" NA NA
"114110836" NA NA
"114110855" NA NA
"114110860" NA NA
"114110881" NA NA
"114110891" NA NA
"114110905" NA NA
"114110909" NA NA
"114110916" NA NA
"114110917" NA NA
"114110928" NA NA
"114110960" NA NA
"114110974" NA NA
"120143284" NA NA
"125160102" NA NA
"125160105" NA NA
"125160109" NA NA
"125160117" NA NA
"125160120" NA NA
"125160122" NA NA
"125160126" NA NA
"125160128" NA NA
"125160131" NA NA
"125160136" NA NA
"125160144" NA NA
"125160196" NA NA
"125160226" NA NA
"127186268" NA NA
"135102314" NA NA
"145120681" NA NA
"146130405" NA NA
"146130406" NA NA
"146164118" NA NA
"146164258" NA NA
"146164339" NA NA
"150154544" NA NA
"150154571" NA NA
"150154590" NA NA
"150156980" NA NA
"172168066" NA NA
"176124478" NA NA
"176124583" NA NA
"176124657" NA NA
"224130535" NA NA
"224130547" NA NA
"224130572" NA NA
"226189250" NA NA
"226189495" NA NA
"243185120" NA NA
"243185129" NA NA
"266176519" NA NA
"266176520" NA NA
"266176643" NA NA
"999999999" NA NA
"266176717" NA NA
"266176762" NA NA
"109137448" "114110801" "114110805"
"109137468" "114110860" "114110917"
"109137491" "114110905" "114110826"
"109137494" "114110974" "114110909"
"117174308" "109137487" "114110916"
"117174334" "114110960" "114110881"
"117174376" "114110836" "114110855"
"120130681" "114110860" "114110917"
"120130683" "114110860" "114110917"
"125158709" "125160136" "125160144"
"125160172" "125160136" "125160144"
"125160179" "125160126" "125160102"
"125160188" "125160196" "125160128"
"125160204" "125160117" "125160122"
"125160206" "125160126" "125160102"
"125160216" "125160196" "125160128"
"125160237" "125160136" "125160144"
"117174390" "114110928" "109137494"
"120130505" "114110928" "109137494"
"120130651" "117174308" "109137448"
"120130690" "109137468" "114110891"
"120130750" "114110928" "109137494"
"120143075" "120130683" "109137491"
"120143169" "117174308" "117174334"
"125158821" "125160216" "117174376"
"125158823" "125160204" "125160237"
"125158961" "125160206" "125160188"
"125159243" "125160204" "125160237"
"125159266" "125160206" "125160188"
