"ninecode" "natalyr" "sex.use" "nestrec" "surv.ind.to.ad" "brood.date" "sex.use.x1" "f.coef" "foc0" "g1" "natalyr.no"
111111112 2012 0 3086 0 120 1 0.111552177444537 0.408567905426025 0.591432094573975 38
111111121 2015 0 3237 0 141 1 0.0481465994607788 0.329975247383118 0.670024752616882 41
143173366 1993 1 1838 1 96 1 0.05108642578125 0.5283203125 0.4716796875 19
143173381 1993 2 1867 1 102 2 0.03125 0.625 0.375 19
143173382 1993 1 1867 0 102 1 0.0341796875 0.43359375 0.56640625 19
143173384 1993 1 1851 0 102 1 0.021484375 0.6328125 0.3671875 19
143173385 1993 1 1872 0 103 1 0.0341796875 0.43359375 0.56640625 19
143173387 1993 1 1856 0 104 1 0.048858642578125 0.6728515625 0.3271484375 19
143173390 1993 2 1856 0 104 2 0.048858642578125 0.6728515625 0.3271484375 19
143173393 1993 1 1843 0 105 1 0.0107421875 0.5322265625 0.4677734375 19
143173395 1993 2 1843 1 105 2 0.0107421875 0.5322265625 0.4677734375 19
143173397 1993 2 1869 1 105 2 0.036407470703125 0.423828125 0.576171875 19
143173398 1993 1 1869 1 105 1 0.036407470703125 0.423828125 0.576171875 19
143173399 1993 2 1869 1 105 2 0.036407470703125 0.423828125 0.576171875 19
145162001 1995 1 2039 0 103 1 0.0807380676269531 0.71484375 0.28515625 21
145162002 1995 2 2039 1 103 2 0.0807380676269531 0.71484375 0.28515625 21
145162003 1995 2 2039 1 103 2 0.0807380676269531 0.71484375 0.28515625 21
145162004 1995 2 2105 0 103 2 0.0908012390136719 0.673095703125 0.326904296875 21
145162006 1995 1 2105 0 103 1 0.0908012390136719 0.673095703125 0.326904296875 21
145162008 1995 1 2109 0 103 1 0.0856342315673828 0.6005859375 0.3994140625 21
145162009 1995 1 2058 0 104 1 0.0549507141113281 0.3134765625 0.6865234375 21
145162011 1995 1 2041 0 104 1 0.0463676452636719 0.5859375 0.4140625 21
145162012 1995 1 2041 0 104 1 0.0588722229003906 0.47607421875 0.52392578125 21
145162013 1995 2 2041 0 104 2 0.0588722229003906 0.47607421875 0.52392578125 21
145162014 1995 2 2041 0 104 2 0.0463676452636719 0.5859375 0.4140625 21
145162015 1995 1 2086 0 103 1 0.05889892578125 0.6435546875 0.3564453125 21
145162016 1995 2 2086 0 103 2 0.05889892578125 0.6435546875 0.3564453125 21
145162017 1995 2 2086 0 103 2 0.05889892578125 0.6435546875 0.3564453125 21
145162018 1995 1 2086 0 103 1 0.05889892578125 0.6435546875 0.3564453125 21
145162020 1995 2 2037 1 104 2 0.0550155639648438 0.5615234375 0.4384765625 21
145162021 1995 2 2031 0 108 2 0.040802001953125 0.6240234375 0.3759765625 21
145162022 1995 1 2031 0 108 1 0.040802001953125 0.6240234375 0.3759765625 21
145162023 1995 1 2031 0 108 1 0.040802001953125 0.6240234375 0.3759765625 21
145162025 1995 1 2024 0 108 1 0.0937910079956055 0.713623046875 0.286376953125 21
145162026 1995 2 2024 0 108 2 0.0937910079956055 0.713623046875 0.286376953125 21
145162027 1995 1 2024 0 108 1 0.0937910079956055 0.713623046875 0.286376953125 21
145162028 1995 2 2027 1 109 2 0.0712890625 0.5234375 0.4765625 21
145162029 1995 1 2027 1 109 1 0.0828323364257812 0.62841796875 0.37158203125 21
145162030 1995 1 2027 0 109 1 0.0712890625 0.5234375 0.4765625 21
